order,case_name,slug,filename,width,height,kb,alt_text,source_url,warnings
1,TMJ Disorders,tmj-jaw-pain-and-night-time-teeth-grinding-eased,tmj-jaw-pain-and-night-time-teeth-grinding-eased.jpg,1580,1008,130,Acupuncture needles placed around the jaw to ease TMJ pain and night-time teeth grinding,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Screenshot%202025-11-11%20at%203.06.27%E2%80%AFPM.png,under-1920px-wide-case-hero-will-be-soft
3,Neck & Shoulder Pains,stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course,stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course.jpg,1318,1048,86,Acupuncture for stress-related neck and shoulder tension,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Screenshot%202025-11-11%20at%203.54.23%E2%80%AFPM.png,under-1920px-wide-case-hero-will-be-soft
7,Insomnia - Wake up Too Many Times,waking-through-the-night-to-urinate-restored-deep-sleep,waking-through-the-night-to-urinate-restored-deep-sleep.jpg,766,530,53,Acupuncture and Chinese herbs used for night-time waking and disturbed sleep,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Insomnia%20-2.png,under-1920px-wide-case-hero-will-be-soft
8,Severe Insomnia - Barely Sleep,severe-insomnia-from-barely-sleeping-to-full-nights,severe-insomnia-from-barely-sleeping-to-full-nights.jpg,1262,1238,76,Acupuncture and ear seeds used in the care of severe insomnia,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Insominia-c216b06.png,under-1920px-wide-case-hero-will-be-soft
9,Asthma for 20 Years,twenty-years-of-asthma-off-the-inhaler,twenty-years-of-asthma-off-the-inhaler.jpg,1526,1054,70,Acupuncture and Chinese herbal medicine used for long-standing asthma and breathing difficulty,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/blob-bf30e80.png,under-1920px-wide-case-hero-will-be-soft
13,Shoulder Pains Caused by Aging,frozen-shoulder-pain-from-aging-resolved,frozen-shoulder-pain-from-aging-resolved.jpg,862,580,40,Acupuncture treatment for frozen shoulder pain and restricted movement,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Shoulder%20Pain%20Asian%20Woman.png,under-1920px-wide-case-hero-will-be-soft
15,Migraine and Chinook Headaches,migraines-and-chinook-headaches-stopped-at-the-needle,migraines-and-chinook-headaches-stopped-at-the-needle.jpg,1726,1146,209,Acupuncture for migraines and Calgary Chinook headaches,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Headache.png,under-1920px-wide-case-hero-will-be-soft
16,"Neck, Shoulder, Back Pains Caused by Car Accident",neck-shoulder-and-back-pain-after-a-car-accident-resolved,neck-shoulder-and-back-pain-after-a-car-accident-resolved.jpg,1622,1144,168,"Acupuncture for neck, shoulder and back pain following a car accident",https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Lower%20back%20pain.png,under-1920px-wide-case-hero-will-be-soft
17,Sleep Apnea & Severe Snoring,sleep-apnea-and-severe-snoring-machine-free-nights,sleep-apnea-and-severe-snoring-machine-free-nights.jpg,1304,950,127,Acupuncture and Chinese herbal medicine used for sleep apnea and heavy snoring,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/sleep%20apnea-000bd95.png,under-1920px-wide-case-hero-will-be-soft
19,Seasonal Allergy,seasonal-allergies-and-morning-sneezing-cleared,seasonal-allergies-and-morning-sneezing-cleared.jpg,1550,1064,143,Acupuncture and Chinese herbs used for seasonal allergies and morning sneezing,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Seasonal%20allergy.png,under-1920px-wide-case-hero-will-be-soft
20,Quick Recovery from Flu,a-fast-recovery-from-the-flu-without-the-usual-long-illness,a-fast-recovery-from-the-flu-without-the-usual-long-illness.jpg,1598,1088,247,Acupuncture used during recovery from influenza at a Calgary TCM clinic,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Sick.png,under-1920px-wide-case-hero-will-be-soft
21,High Blood Pressure with Medication,high-blood-pressure-that-medication-couldnt-control-brought-down,high-blood-pressure-that-medication-couldnt-control-brought-down.jpg,1206,802,83,"Acupuncture, ear seeds and Chinese herbs used in the care of high blood pressure",https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Hypertension-2.png,under-1920px-wide-case-hero-will-be-soft
22,High Blood Pressure without Medication,dangerously-high-blood-pressure-without-medication-returned-to-normal,dangerously-high-blood-pressure-without-medication-returned-to-normal.jpg,1370,908,70,Acupuncture and Chinese herbal medicine used for very high blood pressure,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Hypertension%20or%20High%20blood%20pressure.png,under-1920px-wide-case-hero-will-be-soft
23,Anxiety for 50 years,lifelong-anxiety-and-insomnia-eased-with-herbs,lifelong-anxiety-and-insomnia-eased-with-herbs.jpg,1492,948,107,Chinese herbal medicine and acupuncture used for long-standing anxiety and insomnia,https://img1.wsimg.com/isteam/ip/df62e211-90c4-4ebd-afb7-d2295753e1fb/Screenshot%202026-03-20%20at%209.48.41%E2%80%AFPM.png,under-1920px-wide-case-hero-will-be-soft
