# slug	file	alt   (generated from clinic-case-alt-text.csv - do not hand-edit)
a-fast-recovery-from-the-flu-without-the-usual-long-illness	a-fast-recovery-from-the-flu-without-the-usual-long-illness.jpg	Woman lying in bed holding both hands to her head, face drawn with illness
cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened	cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened.jpg	Close-up of a woman's cheek and eye area showing age spots and fine wrinkles
dangerously-high-blood-pressure-without-medication-returned-to-normal	dangerously-high-blood-pressure-without-medication-returned-to-normal.jpg	Home blood pressure monitor on a desk showing a high reading beside a seated man's cuffed arm
frozen-shoulder-pain-from-aging-resolved	frozen-shoulder-pain-from-aging-resolved.jpg	Older woman sitting on a sofa holding her shoulder, wincing in pain
high-blood-pressure-that-medication-couldnt-control-brought-down	high-blood-pressure-that-medication-couldnt-control-brought-down.jpg	Clinician measuring a patient's blood pressure with an inflatable cuff and stethoscope
lifelong-anxiety-and-insomnia-eased-with-herbs	lifelong-anxiety-and-insomnia-eased-with-herbs.jpg	Woman standing still with her face in her hands as a blurred crowd rushes past her
migraines-and-chinook-headaches-stopped-at-the-needle	migraines-and-chinook-headaches-stopped-at-the-needle.jpg	Woman sitting on the edge of her bed with a hand pressed to her forehead, eyes closed
neck-shoulder-and-back-pain-after-a-car-accident-resolved	neck-shoulder-and-back-pain-after-a-car-accident-resolved.jpg	Woman sitting on a sofa with a hand on her lower back, grimacing
seasonal-allergies-and-morning-sneezing-cleared	seasonal-allergies-and-morning-sneezing-cleared.jpg	Bearded man blowing his nose into a tissue against a pale wall
severe-insomnia-from-barely-sleeping-to-full-nights	severe-insomnia-from-barely-sleeping-to-full-nights.jpg	Woman lying awake on her pillow at night, eyes open in the blue half-light of a bedroom
shingles-blisters-and-severe-pain-cleared	shingles-blisters-and-severe-pain-cleared.jpg	Close-up of a shingles rash: clusters of fluid-filled blisters on reddened skin
sleep-apnea-and-severe-snoring-machine-free-nights	sleep-apnea-and-severe-snoring-machine-free-nights.jpg	Man asleep in bed wearing a CPAP mask and hose for sleep apnea
stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course	stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course.jpg	Woman seen from behind reaching back to press the base of her neck and shoulder
tmj-jaw-pain-and-night-time-teeth-grinding-eased	tmj-jaw-pain-and-night-time-teeth-grinding-eased.jpg	Woman sitting at home pressing a hand to her jaw in discomfort
twenty-years-of-asthma-off-the-inhaler	twenty-years-of-asthma-off-the-inhaler.jpg	Bearded man holding a grey asthma inhaler out towards the camera
twenty-years-of-depression-resolved-and-off-medication	twenty-years-of-depression-resolved-and-off-medication.jpg	Woman sitting on the floor beside her bed, knees drawn up, staring out of the window
waking-through-the-night-to-urinate-restored-deep-sleep	waking-through-the-night-to-urinate-restored-deep-sleep.jpg	Woman lying awake in bed at night with her hands resting on her lower abdomen
