kind,path,url,status,title,title_len,title_is_auto,description,desc_len,canonical,noindex,flags
page,/,https://wheat-loris-762449.hostingersite.com/,200,Wellspring Health Acupuncture & Traditional Chinese Medicine (TCM) Clinic Calgary,81,no,"Calgary acupuncture and Traditional Chinese Medicine (TCM) for pain, stress, sleep and much more. Needle-free options and Chinese herbs. Book an appointment.",157,https://wheat-loris-762449.hostingersite.com/,no,title-over-60
page,/about,https://wheat-loris-762449.hostingersite.com/about,200,About,5,no,"Meet Dr. Laura Cowburn, Registered Acupuncturist and Doctor of TCM in Calgary. Learn about our treatment, approach and what to expect at your visit.",148,https://wheat-loris-762449.hostingersite.com/about,no,
page,/what-we-treat,https://wheat-loris-762449.hostingersite.com/what-we-treat,200,Conditions We Treat with Acupuncture & TCM at Wellspring Health Clinic,70,no,"Acupuncture & TCM for pain relief, women's health, digestive disorders, and more. At Wellspring Health we help you feel better, function better, and stay well.",159,https://wheat-loris-762449.hostingersite.com/what-we-treat,no,title-over-60
page,/what-we-treat/pain-relief,https://wheat-loris-762449.hostingersite.com/what-we-treat/pain-relief,200,Pain Relief & Injury Recovery – Wellspring Health,49,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/pain-relief,no,auto-title no-description duplicate-title
page,/what-we-treat/womens-health,https://wheat-loris-762449.hostingersite.com/what-we-treat/womens-health,200,Women’s Health – Wellspring Health,34,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/womens-health,no,auto-title no-description duplicate-title
page,/what-we-treat/mental-health-sleep,https://wheat-loris-762449.hostingersite.com/what-we-treat/mental-health-sleep,200,Mental Health & Sleep – Wellspring Health,41,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/mental-health-sleep,no,auto-title no-description duplicate-title
page,/what-we-treat/digestive-health,https://wheat-loris-762449.hostingersite.com/what-we-treat/digestive-health,200,Digestive Health – Wellspring Health,36,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/digestive-health,no,auto-title no-description
page,/what-we-treat/respiratory,https://wheat-loris-762449.hostingersite.com/what-we-treat/respiratory,200,Respiratory Disorders – Wellspring Health,41,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/respiratory,no,auto-title no-description
page,/what-we-treat/other-conditions,https://wheat-loris-762449.hostingersite.com/what-we-treat/other-conditions,200,Other Conditions – Wellspring Health,36,yes,,,https://wheat-loris-762449.hostingersite.com/what-we-treat/other-conditions,no,auto-title no-description duplicate-title
page,/contact,https://wheat-loris-762449.hostingersite.com/contact,200,Contact Our TCM & Acupuncture Clinic in Calgary,47,no,Contact Wellspring Health Calgary acupuncture & TCM clinic. Send a message or call. Conveniently located in the same building as Lochend Clinic.,144,https://wheat-loris-762449.hostingersite.com/contact,no,
page,/what-we-treat/heart-circulation,https://wheat-loris-762449.hostingersite.com/what-we-treat/heart-circulation,200,Heart & Circulation – Wellspring Health,39,yes,"Acupuncture and TCM can support a steady heart rhythm and healthy circulation — easing palpitations, helping regulate blood pressure, and restoring warmth and…",159,https://wheat-loris-762449.hostingersite.com/what-we-treat/heart-circulation,no,auto-title duplicate-title
