Approved,Image Order,Clinic Case,Option 1,Option 2,Option 3
TRUE,1,TMJ Disorders,Use Existing,,
FALSE,2,Extremely Heavy Period,https://stock.adobe.com/ca/images/young-sad-attractive-woman-having-painful-stomachache-from-period-pain-and-menstrual-cramps/206825087,,
TRUE,3,Neck & Shoulder Pains,Use Existing,,
FALSE,4,Irregular heart beats,https://stock.adobe.com/ca/images/senior-woman-having-heart-attack-symptoms-in-park/1762043661,https://stock.adobe.com/ca/images/elderly-lady-having-asthma-attack-symptoms-hard-to-breath-and-pain-in-chest/241146204,https://stock.adobe.com/ca/images/upset-stressed-mature-middle-aged-woman-feeling-pain-ache-touching-chest-having-heart-attack-sad-worried-senior-older-lady-suffers-from-heartache-at-home-infarction-or-female-heart-disease-concept/683823662
FALSE,5,Frequent Urination,https://stock.adobe.com/ca/images/asian-woman-urinating-in-toilet-problem-of-polyuria-urination-disorders-frequent-micturition-urinary-incontinence-urinary-urgency-overactive-bladder-urine-frequency-kidney-and-urinary-bladder-system/649183939,,
FALSE,6,Knee Pains After Surgery,https://stock.adobe.com/ca/images/woman-holds-up-phone-with-x-ray-beside-stitches-in-knee/448865905,https://stock.adobe.com/ca/images/senior-woman-suffering-with-knee-pain-during-morning-walk/531183083,
TRUE,7,Insomnia - Wake up Too Many Times,Use Existing,,
TRUE,8,Severe Insomnia - Barely Sleep,Use Existing,,
TRUE,9,Asthma for 20 Years,Use Existing,,
FALSE,10,Heel Pains Caused by Bone Spur,https://stock.adobe.com/ca/images/middle-aged-woman-suffering-from-pain-in-leg-at-home-closeup-physical-injury-concept/311359751,,
FALSE,11,Pains & Tightness Caused by Scoliosis,https://stock.adobe.com/ca/images/hip-pain-man-and-fitness-injury-at-gym-for-boxing-sport-and-training-with-accident-at-health-center-wellness-hands-and-exercise-of-an-athlete-with-hurt-joint-and-scoliosis-concern-of-spine/952967359,,
FALSE,12,Knee Pains Caused by Bone Spur,https://stock.adobe.com/ca/images/close-up-of-women-sitting-on-bench-holding-her-knee-in-pain-after-exercise-representing-workout-injury-joint-discomfort-and-recovery-in-outdoor-fitness-activity/1873907878,,
TRUE,13,Shoulder Pains Caused by Aging,Use Existing,,
FALSE,14,"Stuffy Nose, Cannot Sell & Taste (typo should be Smell)",https://stock.adobe.com/ca/images/asian-woman-suffering-from-stuffy-nose-having-runny-nose-and-bad-breath-caused-by-sinus-infection/577050081,Use Existing,
TRUE,15,Migraine and Chinook Headaches,Use Existing,,
TRUE,16,"Neck, Shoulder, Back Pains Caused by Car Accident",Use Existing,,
TRUE,17,Sleep Apnea & Severe Snoring,Use Existing,,
FALSE,18,Quit Smoking,https://stock.adobe.com/ca/images/middle-aged-woman-smoking-cigarette/306780185,https://stock.adobe.com/ca/images/middle-aged-woman-smoking-cigarette-while-standing-outdoor/300719740,
TRUE,19,Seasonal Allergy,Use Existing,,
TRUE,20,Quick Recovery from Flu,Use Existing,,
TRUE,21,High Blood Pressure with Medication,Use Existing,,
TRUE,22,High Blood Pressure without Medication,Use Existing,,
TRUE,23,Anxiety for 50 years,Use Existing,,
TRUE,24,Depression for 20 Years,Use Existing,,
FALSE,25,Raynaud's Syndrome,https://stock.adobe.com/ca/images/raynaud-s-disease-syndrome-hands-of-a-young-woman-suffering-from-raynaud-s-phenomenon-green-background-scleroderma/2012265447,https://stock.adobe.com/ca/images/a-frostbitten-male-hand-with-raynaud-s-syndrome-raynaud-s-phenomenon-or-raynaud-s-disease/542169199,
TRUE,26,Cosmetic Acupuncture - Remove Age Spots & Wrinkles,Use Existing,,
FALSE,27,Pains at Scapula and Flank,https://stock.adobe.com/ca/images/senior-man-with-shoulder-pain-sitting-on-bed-at-home/1901395808,,
TRUE,28,Shingles on Lower Back and Flank,Use Existing,,
