order,filename_jpg,filename_webp,alt_text,alt_chars,usable,note
1,tmj-jaw-pain-and-night-time-teeth-grinding-eased.jpg,tmj-jaw-pain-and-night-time-teeth-grinding-eased.webp,Woman sitting at home pressing a hand to her jaw in discomfort,62,NO,Unsplash+ watermark tiled across the whole frame - not licensed
3,stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course.jpg,stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course.webp,Woman seen from behind reaching back to press the base of her neck and shoulder,79,YES,
7,waking-through-the-night-to-urinate-restored-deep-sleep.jpg,waking-through-the-night-to-urinate-restored-deep-sleep.webp,Woman lying awake in bed at night with her hands resting on her lower abdomen,77,YES,"Smallest file: 766x530, will be soft at full width"
8,severe-insomnia-from-barely-sleeping-to-full-nights.jpg,severe-insomnia-from-barely-sleeping-to-full-nights.webp,"Woman lying awake on her pillow at night, eyes open in the blue half-light of a bedroom",87,YES,"Near-square 1262x1238, crops hard to a wide hero"
9,twenty-years-of-asthma-off-the-inhaler.jpg,twenty-years-of-asthma-off-the-inhaler.webp,Bearded man holding a grey asthma inhaler out towards the camera,64,YES,
13,frozen-shoulder-pain-from-aging-resolved.jpg,frozen-shoulder-pain-from-aging-resolved.webp,"Older woman sitting on a sofa holding her shoulder, wincing in pain",67,YES,Thin black letterbox bars top and bottom - crop before upload
15,migraines-and-chinook-headaches-stopped-at-the-needle.jpg,migraines-and-chinook-headaches-stopped-at-the-needle.webp,"Woman sitting on the edge of her bed with a hand pressed to her forehead, eyes closed",85,NO,Unsplash+ watermark tiled across the whole frame - not licensed
16,neck-shoulder-and-back-pain-after-a-car-accident-resolved.jpg,neck-shoulder-and-back-pain-after-a-car-accident-resolved.webp,"Woman sitting on a sofa with a hand on her lower back, grimacing",64,NO,Unsplash+ watermark tiled across the whole frame - not licensed
17,sleep-apnea-and-severe-snoring-machine-free-nights.jpg,sleep-apnea-and-severe-snoring-machine-free-nights.webp,Man asleep in bed wearing a CPAP mask and hose for sleep apnea,62,YES,
19,seasonal-allergies-and-morning-sneezing-cleared.jpg,seasonal-allergies-and-morning-sneezing-cleared.webp,Bearded man blowing his nose into a tissue against a pale wall,62,NO,Unsplash+ watermark tiled across the whole frame - not licensed
20,a-fast-recovery-from-the-flu-without-the-usual-long-illness.jpg,a-fast-recovery-from-the-flu-without-the-usual-long-illness.webp,"Woman lying in bed holding both hands to her head, face drawn with illness",74,NO,Unsplash+ watermark tiled across the whole frame - not licensed
21,high-blood-pressure-that-medication-couldnt-control-brought-down.jpg,high-blood-pressure-that-medication-couldnt-control-brought-down.webp,Clinician measuring a patient's blood pressure with an inflatable cuff and stethoscope,86,YES,Same subject as order 22 - consider varying one of the two
22,dangerously-high-blood-pressure-without-medication-returned-to-normal.jpg,dangerously-high-blood-pressure-without-medication-returned-to-normal.webp,Home blood pressure monitor on a desk showing a high reading beside a seated man's cuffed arm,93,YES,Same subject as order 21 - consider varying one of the two
23,lifelong-anxiety-and-insomnia-eased-with-herbs.jpg,lifelong-anxiety-and-insomnia-eased-with-herbs.webp,Woman standing still with her face in her hands as a blurred crowd rushes past her,82,YES,
24,twenty-years-of-depression-resolved-and-off-medication.jpg,twenty-years-of-depression-resolved-and-off-medication.webp,"Woman sitting on the floor beside her bed, knees drawn up, staring out of the window",84,YES,
26,cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened.jpg,cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened.webp,Close-up of a woman's cheek and eye area showing age spots and fine wrinkles,76,CHECK,Looks like a real patient photo of an identifiable face - confirm written consent
28,shingles-blisters-and-severe-pain-cleared.jpg,shingles-blisters-and-severe-pain-cleared.webp,Close-up of a shingles rash: clusters of fluid-filled blisters on reddened skin,79,CHECK,Clinical photo of a patient's skin - confirm consent; also graphic for a card thumbnail
